player,team,age,pos,GP,W,L,OTL,GA,SA,SV,SV%,GAA,SO,QS,RBS,VOR,Rank,Pts,Fantasy Team,GP Org,,
Juuse Saros,NSH,29,G,64,35,24,5,172,1974,1802,0.913,2.69,3,38,10,415,6,295,,64,,Use the button below to reset the GP for the Goalie Projections
Connor Hellebuyck,WPG,31,G,63,34,23,5,164,1952,1788,0.916,2.60,4,40,8,583,2,300,,63,,
Andrei Vasilevskiy,TBL,30,G,58,34,20,4,156,1725,1569,0.910,2.69,3,33,9,282,11,259,,58,,
Igor Shesterkin,NYR,29,G,56,36,16,5,137,1679,1542,0.918,2.44,4,35,7,690,1,275,,56,,
Jacob Markstrom,NJD,35,G,56,32,17,7,146,1574,1428,0.907,2.61,4,30,8,333,10,236,,56,,
Sergei Bobrovsky,FLA,36,G,55,33,16,4,143,1588,1445,0.910,2.60,4,34,8,421,5,245,,55,,
Ilya Sorokin,NYI,29,G,50,24,18,8,133,1590,1457,0.916,2.66,4,33,7,351,9,238,,50,,
Jake Oettinger,DAL,26,G,54,34,15,5,138,1554,1416,0.911,2.55,3,31,8,400,7,244,,54,,
Alexandar Georgiev,COL,28,G,53,32,16,5,150,1569,1419,0.904,2.83,3,27,8,168,14,230,,53,,
Linus Ullmark,OTT,31,G,52,34,12,5,126,1576,1451,0.920,2.42,2,35,4,539,3,260,,52,,
Stuart Skinner,EDM,26,G,52,31,16,5,140,1525,1385,0.908,2.68,2,31,10,145,15,229,,52,,
Tristan Jarry,PIT,29,G,52,26,20,6,139,1547,1407,0.910,2.68,4,31,9,246,12,226,,52,,
Jordan Binnington,STL,31,G,52,25,21,5,156,1628,1473,0.904,2.99,3,27,9,-64,24,223,,52,,
Jeremy Swayman,BOS,26,G,50,30,14,7,126,1473,1347,0.915,2.51,4,31,6,476,4,233,,50,,
Thatcher Demko,VAN,29,G,50,29,17,4,135,1538,1404,0.912,2.69,3,29,7,221,13,233,,50,,
Joey Daccord,SEA,28,G,48,21,19,10,126,1436,1310,0.913,2.62,3,30,6,115,17,207,,48,,
Petr Mrazek,CHI,32,G,45,17,23,3,141,1434,1293,0.902,3.13,1,23,7,-523,52,182,,45,,
Logan Thompson,WSH,27,G,45,26,15,5,126,1410,1283,0.910,2.81,2,26,5,19,19,209,,45,,
Connor Ingram,ARI,27,G,45,19,20,6,134,1431,1297,0.907,2.97,4,25,9,-27,22,195,,45,,
Marc-Andre Fleury,MIN,40,G,44,22,17,5,128,1333,1205,0.904,2.91,3,23,10,-149,28,185,,44,,
Elvis Merzlikins,CBJ,30,G,44,17,20,6,145,1436,1291,0.899,3.30,1,20,6,-507,51,178,,44,,
Frederik Andersen,CAR,35,G,43,29,12,2,99,1184,1085,0.916,2.30,3,25,6,399,8,198,,43,,
Ukko-Pekka Luukkonen,BUF,25,G,42,21,17,4,120,1268,1148,0.905,2.86,3,24,6,-159,30,178,,42,,
John Gibson,ANA,31,G,42,14,23,5,141,1382,1241,0.898,3.36,1,21,9,-715,62,163,,42,,
Sam Montembeault,MTL,28,G,42,16,19,7,139,1420,1281,0.902,3.31,1,24,8,-532,53,179,,42,,
Dustin Wolf,CGY,23,G,42,20,18,4,130,1283,1153,0.899,3.09,1,21,7,-444,46,169,,42,,
Darcy Kuemper,LAK,34,G,40,20,15,4,113,1225,1112,0.908,2.82,3,21,7,-72,25,175,,40,,
Joseph Woll,TOR,26,G,40,22,16,3,118,1285,1167,0.908,2.94,1,22,6,-271,37,184,,40,,
Charlie Lindgren,WSH,31,G,40,21,15,5,114,1222,1109,0.907,2.84,3,23,6,-38,23,175,,40,,
Vitek Vanacek,SJS,29,G,40,23,12,4,112,1159,1047,0.903,2.80,2,21,8,-121,27,169,,40,,
Samuel Ersson,PHI,25,G,40,20,15,5,107,1066,960,0.900,2.67,3,22,10,-190,33,149,,40,,
Adin Hill,VEG,28,G,40,22,15,2,105,1158,1053,0.909,2.63,2,22,7,-73,26,171,,40,,
Pyotr Kochetkov,CAR,25,G,38,21,13,5,94,1032,938,0.909,2.48,4,22,7,115,16,158,,38,,
Joel Hofer,STL,24,G,38,20,15,3,105,1160,1055,0.909,2.76,1,22,6,-195,35,169,,38,,
Ivan Fedetov,PHI,28,G,37,18,15,4,110,1141,1032,0.904,2.96,2,20,7,-315,39,157,,37,,
Kaapo Kahkonen,SJS,28,G,37,12,20,5,121,1198,1077,0.899,3.27,1,19,8,-720,63,143,,37,,
Lukas Dostal,ANA,24,G,37,14,20,4,124,1272,1147,0.902,3.36,1,19,5,-647,59,159,,37,,
Philipp Grubauer,SEA,33,G,36,15,17,3,104,994,891,0.896,2.88,1,16,7,-592,55,126,,36,,
Filip Gustavsson,MIN,26,G,36,18,15,4,104,1123,1019,0.908,2.88,2,19,7,-224,36,158,,36,,
Karel Vejmelka,ARI,28,G,35,13,19,3,118,1165,1047,0.899,3.37,1,16,8,-707,61,142,,35,,
Ilya Samsonov,VEG,27,G,35,21,9,5,100,1009,909,0.901,2.85,3,17,7,-170,32,146,,35,,
Laurent Brossoit,CHI,31,G,35,20,10,5,89,1022,933,0.913,2.53,3,21,5,69,18,159,,35,,
Anthony Stolarz,TOR,31,G,35,20,12,3,97,1131,1033,0.914,2.78,3,21,4,0,20,171,,35,,
Cam Talbot,DET,37,G,35,20,12,3,95,1038,944,0.909,2.70,2,21,6,-150,29,154,,35,,
David Rittich,LAK,32,G,35,19,12,5,98,1050,952,0.907,2.80,2,18,4,-166,31,152,,35,,
Devon Levi,BUF,23,G,35,18,13,3,107,1091,984,0.902,3.06,1,19,6,-472,48,148,,35,,
Daniil Tarasov,CBJ,25,G,35,13,17,4,111,1150,1039,0.904,3.17,1,18,8,-601,56,146,,35,,
Daniel Vladar,CGY,27,G,35,19,13,5,111,1064,954,0.896,3.16,1,17,8,-535,54,142,,35,,
Mackenzie Blackwood,SJS,28,G,34,12,16,4,110,1076,967,0.898,3.23,2,18,7,-642,57,132,,34,,
Alex Nedeljkovic,PIT,29,G,33,15,12,6,107,1087,980,0.901,3.25,2,17,7,-492,50,142,,33,,
Cayden Primeau,MTL,25,G,33,13,15,5,103,1089,986,0.905,3.12,2,17,8,-438,45,143,,33,,
Alex Lyon,DET,32,G,30,15,12,4,89,938,849,0.905,2.96,2,16,5,-412,43,131,,30,,
Justus Annunen,COL,24,G,30,17,11,3,82,957,876,0.915,2.72,3,18,3,-19,21,147,,30,,
Semyon Varlamov,NYI,36,G,30,14,12,3,83,951,868,0.912,2.77,3,18,3,-192,34,137,,30,,
Anton Forsberg,OTT,32,G,30,15,12,2,88,926,838,0.905,2.93,2,17,7,-415,44,129,,30,,
Ville Husso,DET,29,G,30,16,9,4,88,914,826,0.904,2.93,2,15,6,-375,40,128,,30,,
Joonas Korpisalo,BOS,30,G,30,14,15,2,100,964,864,0.896,3.33,0,15,6,-816,69,120,,30,,
Casey DeSmith,VAN,33,G,28,13,10,5,84,872,789,0.904,2.99,1,15,6,-482,49,118,,28,,
Jonathan Quick,NYR,39,G,28,15,9,4,80,821,741,0.903,2.86,2,13,5,-403,42,116,,28,,
Antti Raanta,UFA,35,G,28,17,7,3,75,747,673,0.900,2.67,2,14,6,-300,38,111,,28,,
Kevin Lankinen,UFA,29,G,26,12,11,3,83,863,780,0.904,3.20,1,13,5,-644,58,114,,26,,
Jake Allen,NJD,34,G,25,9,13,3,82,806,724,0.898,3.28,1,12,6,-863,70,98,,25,,
Calvin Pickard,EDM,32,G,25,14,9,2,69,737,669,0.907,2.75,1,13,5,-398,41,108,,25,,
Spencer Knight,FLA,23,G,25,14,9,3,76,803,727,0.906,3.03,2,13,5,-455,47,115,,25,,
Scott Wedgewood,NSH,32,G,20,10,7,3,62,661,599,0.906,3.09,1,10,2,-648,60,91,,20,,
Eric Comrie,WPG,29,G,20,9,9,1,62,612,551,0.899,3.09,1,10,5,-777,65,80,,20,,
Martin Jones,UFA,35,G,20,11,8,2,63,611,548,0.898,3.13,1,10,4,-758,64,82,,20,,
Jonas Johansson,TBL,29,G,18,9,6,3,62,563,501,0.890,3.42,1,9,3,-984,73,70,,18,,
James Reimer,BUF,36,G,15,6,6,3,48,490,442,0.903,3.18,1,8,3,-801,68,64,,15,,
Spencer Martin,CAR,29,G,10,5,5,1,34,319,285,0.894,3.39,0,5,3,-1143,75,39,,10,,
Nico Daws,NJD,24,G,10,5,5,0,29,286,257,0.898,2.92,0,5,3,-934,71,37,,10,,
Pheonix Copley,LAK,33,G,10,6,2,1,28,274,246,0.899,2.77,1,5,2,-780,66,39,,10,,
Akira Schmid,VEG,24,G,10,5,5,1,29,301,273,0.905,2.87,0,5,2,-786,67,41,,10,,
Collin Delia,EDM,30,G,10,5,4,1,32,311,279,0.897,3.19,0,5,2,-1012,74,40,,10,,
Calvin Petersen,PHI,30,G,8,4,3,1,24,236,211,0.896,3.06,1,4,2,-983,72,32,,8,,
Arvid Soderblom,CHI,25,G,7,2,5,1,25,225,200,0.889,3.58,0,3,1,-1369,77,24,,7,,
Felix Sandstrom,PHI,28,G,6,2,3,1,20,188,168,0.894,3.32,0,3,1,-1185,76,22,,6,,
